0,1,2,3,4,5,6,7,8,9
0.0684,0.0024,0.0024,0.0024,0.0024,0.0098,0.0024,0.0488,0.0024,0.0342
0.0586,0.0024,0.0024,0.0024,0.0024,0.0049,0.0024,0.0415,0.0024,0.0293
0.0562,0.0024,0.0024,0.0024,0.0024,0.0049,0.0024,0.0391,0.0024,0.0244
0.0562,0.0024,0.0024,0.0024,0.0024,0.0049,0.0024,0.0342,0.0024,0.0171
0.0488,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0366,0.0024,0.0146
0.0488,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0366,0.0024,0.0098
0.0439,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0366,0.0024,0.0098
0.0464,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0366,0.0024,0.0049
0.0464,0.0024,0.0049,0.0024,0.0024,0.0024,0.0024,0.0342,0.0024,0.0024
0.0415,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0342,0.0024,0.0024
0.0464,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0391,0.0024,0.0024
0.0464,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0391,0.0024,0.0024
0.0415,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0415,0.0024,0.0024
0.0342,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0415,0.0024,0.0024
0.0269,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0391,0.0024,0.0024
0.0391,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0464,0.0024,0.0024
0.0415,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0513,0.0024,0.0024
0.0391,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0488,0.0024,0.0024
0.0366,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0464,0.0024,0.0024
0.0391,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0488,0.0024,0.0024
0.0391,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0513,0.0024,0.0024
0.0391,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0513,0.0024,0.0024
0.0415,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0464,0.0024,0.0024
0.0366,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0415,0.0024,0.0024
0.0293,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0366,0.0024,0.0024
0.0269,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0366,0.0024,0.0024
0.0439,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0391,0.0024,0.0024
0.0488,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0391,0.0024,0.0024
0.0513,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0366,0.0024,0.0024
0.0513,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0342,0.0024,0.0024
0.0562,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0317,0.0024,0.0024
0.0537,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0269,0.0024,0.0024
0.0464,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.022,0.0024,0.0024
0.0391,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.022,0.0024,0.0024
0.0317,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0244,0.0024,0.0024
0.0244,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.022,0.0024,0.0024
0.022,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0171,0.0024,0.0024
0.0171,0.0024,0.0024,0.0024,0.0024,0.0024,0.0024,0.0171,0.0024,0.0024
